category_1,category_2,counts,date,week_no
Total deaths,all ages,12968,2010-01-08,1
Total deaths,all ages,12541,2010-01-15,2
Total deaths,all ages,11762,2010-01-22,3
Total deaths,all ages,11056,2010-01-29,4
Total deaths,all ages,10524,2010-02-05,5
Total deaths,all ages,10117,2010-02-12,6
Total deaths,all ages,10102,2010-02-19,7
Total deaths,all ages,10295,2010-02-26,8
Total deaths,all ages,9981,2010-03-05,9
Total deaths,all ages,9792,2010-03-12,10
Total deaths,all ages,9729,2010-03-19,11
Total deaths,all ages,9631,2010-03-26,12
Total deaths,all ages,8004,2010-04-02,13
Total deaths,all ages,9756,2010-04-09,14
Total deaths,all ages,9892,2010-04-16,15
Total deaths,all ages,9449,2010-04-23,16
Total deaths,all ages,9503,2010-04-30,17
Total deaths,all ages,8343,2010-05-07,18
Total deaths,all ages,9483,2010-05-14,19
Total deaths,all ages,9190,2010-05-21,20
Total deaths,all ages,9452,2010-05-28,21
Total deaths,all ages,8178,2010-06-04,22
Total deaths,all ages,9259,2010-06-11,23
Total deaths,all ages,8513,2010-06-18,24
Total deaths,all ages,8461,2010-06-25,25
Total deaths,all ages,8973,2010-07-02,26
Total deaths,all ages,8627,2010-07-09,27
Total deaths,all ages,8541,2010-07-16,28
Total deaths,all ages,8261,2010-07-23,29
Total deaths,all ages,8257,2010-07-30,30
Total deaths,all ages,8467,2010-08-06,31
Total deaths,all ages,8318,2010-08-13,32
Total deaths,all ages,8584,2010-08-20,33
Total deaths,all ages,8635,2010-08-27,34
Total deaths,all ages,7708,2010-09-03,35
Total deaths,all ages,8961,2010-09-10,36
Total deaths,all ages,8727,2010-09-17,37
Total deaths,all ages,8943,2010-09-24,38
Total deaths,all ages,8759,2010-10-01,39
Total deaths,all ages,9195,2010-10-08,40
Total deaths,all ages,9218,2010-10-15,41
Total deaths,all ages,9286,2010-10-22,42
Total deaths,all ages,9275,2010-10-29,43
Total deaths,all ages,9668,2010-11-05,44
Total deaths,all ages,9406,2010-11-12,45
Total deaths,all ages,9437,2010-11-19,46
Total deaths,all ages,9473,2010-11-26,47
Total deaths,all ages,9220,2010-12-03,48
Total deaths,all ages,11193,2010-12-10,49
Total deaths,all ages,10880,2010-12-17,50
Total deaths,all ages,11484,2010-12-24,51
Total deaths,all ages,9689,2010-12-31,52
Total deaths,average of same week over 5 years,12050,2010-01-08,1
Total deaths,average of same week over 5 years,12600,2010-01-15,2
Total deaths,average of same week over 5 years,11692.2,2010-01-22,3
Total deaths,average of same week over 5 years,11069.2,2010-01-29,4
Total deaths,average of same week over 5 years,10840.4,2010-02-05,5
Total deaths,average of same week over 5 years,10602.4,2010-02-12,6
Total deaths,average of same week over 5 years,10774.8,2010-02-19,7
Total deaths,average of same week over 5 years,10715.2,2010-02-26,8
Total deaths,average of same week over 5 years,10793.8,2010-03-05,9
Total deaths,average of same week over 5 years,10572.8,2010-03-12,10
Total deaths,average of same week over 5 years,10432.2,2010-03-19,11
Total deaths,average of same week over 5 years,9646.8,2010-03-26,12
Total deaths,average of same week over 5 years,10315,2010-04-02,13
Total deaths,average of same week over 5 years,10013.8,2010-04-09,14
Total deaths,average of same week over 5 years,9696,2010-04-16,15
Total deaths,average of same week over 5 years,10259.8,2010-04-23,16
Total deaths,average of same week over 5 years,10025,2010-04-30,17
Total deaths,average of same week over 5 years,9378.8,2010-05-07,18
Total deaths,average of same week over 5 years,9090,2010-05-14,19
Total deaths,average of same week over 5 years,9474.8,2010-05-21,20
Total deaths,average of same week over 5 years,9384.2,2010-05-28,21
Total deaths,average of same week over 5 years,8464.6,2010-06-04,22
Total deaths,average of same week over 5 years,9332.4,2010-06-11,23
Total deaths,average of same week over 5 years,9072.8,2010-06-18,24
Total deaths,average of same week over 5 years,9013.8,2010-06-25,25
Total deaths,average of same week over 5 years,8791.6,2010-07-02,26
Total deaths,average of same week over 5 years,8914,2010-07-09,27
Total deaths,average of same week over 5 years,8745.2,2010-07-16,28
Total deaths,average of same week over 5 years,8762.8,2010-07-23,29
Total deaths,average of same week over 5 years,8846.2,2010-07-30,30
Total deaths,average of same week over 5 years,8669.4,2010-08-06,31
Total deaths,average of same week over 5 years,8611.4,2010-08-13,32
Total deaths,average of same week over 5 years,8651.4,2010-08-20,33
Total deaths,average of same week over 5 years,8683.8,2010-08-27,34
Total deaths,average of same week over 5 years,8100.8,2010-09-03,35
Total deaths,average of same week over 5 years,8596.4,2010-09-10,36
Total deaths,average of same week over 5 years,8654,2010-09-17,37
Total deaths,average of same week over 5 years,8652.4,2010-09-24,38
Total deaths,average of same week over 5 years,8827,2010-10-01,39
Total deaths,average of same week over 5 years,8894.6,2010-10-08,40
Total deaths,average of same week over 5 years,9124.6,2010-10-15,41
Total deaths,average of same week over 5 years,9192,2010-10-22,42
Total deaths,average of same week over 5 years,9327.6,2010-10-29,43
Total deaths,average of same week over 5 years,9420.2,2010-11-05,44
Total deaths,average of same week over 5 years,9547.8,2010-11-12,45
Total deaths,average of same week over 5 years,9671.2,2010-11-19,46
Total deaths,average of same week over 5 years,9856,2010-11-26,47
Total deaths,average of same week over 5 years,9898.4,2010-12-03,48
Total deaths,average of same week over 5 years,10175.2,2010-12-10,49
Total deaths,average of same week over 5 years,10453.6,2010-12-17,50
Total deaths,average of same week over 5 years,10925,2010-12-24,51
Total deaths,average of same week over 5 years,8825,2010-12-31,52
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,2345,2010-01-08,1
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,2293,2010-01-15,2
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1955,2010-01-22,3
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1698,2010-01-29,4
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1635,2010-02-05,5
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1566,2010-02-12,6
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1551,2010-02-19,7
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1468,2010-02-26,8
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1412,2010-03-05,9
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1381,2010-03-12,10
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1303,2010-03-19,11
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1290,2010-03-26,12
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1092,2010-04-02,13
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1415,2010-04-09,14
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1305,2010-04-16,15
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1233,2010-04-23,16
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1232,2010-04-30,17
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1144,2010-05-07,18
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1214,2010-05-14,19
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1164,2010-05-21,20
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1315,2010-05-28,21
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1057,2010-06-04,22
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1191,2010-06-11,23
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,988,2010-06-18,24
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,984,2010-06-25,25
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1135,2010-07-02,26
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1074,2010-07-09,27
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,978,2010-07-16,28
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,878,2010-07-23,29
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,903,2010-07-30,30
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,906,2010-08-06,31
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,914,2010-08-13,32
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1046,2010-08-20,33
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,962,2010-08-27,34
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,888,2010-09-03,35
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1032,2010-09-10,36
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1003,2010-09-17,37
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1012,2010-09-24,38
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1068,2010-10-01,39
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1183,2010-10-08,40
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1188,2010-10-15,41
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1232,2010-10-22,42
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1194,2010-10-29,43
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1306,2010-11-05,44
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1274,2010-11-12,45
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1224,2010-11-19,46
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1250,2010-11-26,47
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1215,2010-12-03,48
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1586,2010-12-10,49
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1674,2010-12-17,50
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,2000,2010-12-24,51
All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1916,2010-12-31,52
Persons,Under 1 year,61,2010-01-08,1
Persons,Under 1 year,69,2010-01-15,2
Persons,Under 1 year,66,2010-01-22,3
Persons,Under 1 year,68,2010-01-29,4
Persons,Under 1 year,72,2010-02-05,5
Persons,Under 1 year,79,2010-02-12,6
Persons,Under 1 year,71,2010-02-19,7
Persons,Under 1 year,73,2010-02-26,8
Persons,Under 1 year,55,2010-03-05,9
Persons,Under 1 year,45,2010-03-12,10
Persons,Under 1 year,53,2010-03-19,11
Persons,Under 1 year,61,2010-03-26,12
Persons,Under 1 year,50,2010-04-02,13
Persons,Under 1 year,66,2010-04-09,14
Persons,Under 1 year,63,2010-04-16,15
Persons,Under 1 year,66,2010-04-23,16
Persons,Under 1 year,59,2010-04-30,17
Persons,Under 1 year,59,2010-05-07,18
Persons,Under 1 year,70,2010-05-14,19
Persons,Under 1 year,71,2010-05-21,20
Persons,Under 1 year,78,2010-05-28,21
Persons,Under 1 year,49,2010-06-04,22
Persons,Under 1 year,46,2010-06-11,23
Persons,Under 1 year,72,2010-06-18,24
Persons,Under 1 year,57,2010-06-25,25
Persons,Under 1 year,58,2010-07-02,26
Persons,Under 1 year,61,2010-07-09,27
Persons,Under 1 year,74,2010-07-16,28
Persons,Under 1 year,55,2010-07-23,29
Persons,Under 1 year,68,2010-07-30,30
Persons,Under 1 year,61,2010-08-06,31
Persons,Under 1 year,62,2010-08-13,32
Persons,Under 1 year,46,2010-08-20,33
Persons,Under 1 year,58,2010-08-27,34
Persons,Under 1 year,52,2010-09-03,35
Persons,Under 1 year,54,2010-09-10,36
Persons,Under 1 year,68,2010-09-17,37
Persons,Under 1 year,67,2010-09-24,38
Persons,Under 1 year,68,2010-10-01,39
Persons,Under 1 year,66,2010-10-08,40
Persons,Under 1 year,70,2010-10-15,41
Persons,Under 1 year,46,2010-10-22,42
Persons,Under 1 year,55,2010-10-29,43
Persons,Under 1 year,66,2010-11-05,44
Persons,Under 1 year,58,2010-11-12,45
Persons,Under 1 year,55,2010-11-19,46
Persons,Under 1 year,57,2010-11-26,47
Persons,Under 1 year,51,2010-12-03,48
Persons,Under 1 year,59,2010-12-10,49
Persons,Under 1 year,62,2010-12-17,50
Persons,Under 1 year,64,2010-12-24,51
Persons,Under 1 year,40,2010-12-31,52
Persons,01-14,24,2010-01-08,1
Persons,01-14,29,2010-01-15,2
Persons,01-14,18,2010-01-22,3
Persons,01-14,21,2010-01-29,4
Persons,01-14,18,2010-02-05,5
Persons,01-14,28,2010-02-12,6
Persons,01-14,17,2010-02-19,7
Persons,01-14,27,2010-02-26,8
Persons,01-14,31,2010-03-05,9
Persons,01-14,28,2010-03-12,10
Persons,01-14,24,2010-03-19,11
Persons,01-14,32,2010-03-26,12
Persons,01-14,16,2010-04-02,13
Persons,01-14,19,2010-04-09,14
Persons,01-14,21,2010-04-16,15
Persons,01-14,31,2010-04-23,16
Persons,01-14,19,2010-04-30,17
Persons,01-14,13,2010-05-07,18
Persons,01-14,25,2010-05-14,19
Persons,01-14,22,2010-05-21,20
Persons,01-14,26,2010-05-28,21
Persons,01-14,20,2010-06-04,22
Persons,01-14,14,2010-06-11,23
Persons,01-14,18,2010-06-18,24
Persons,01-14,15,2010-06-25,25
Persons,01-14,22,2010-07-02,26
Persons,01-14,20,2010-07-09,27
Persons,01-14,26,2010-07-16,28
Persons,01-14,19,2010-07-23,29
Persons,01-14,15,2010-07-30,30
Persons,01-14,17,2010-08-06,31
Persons,01-14,20,2010-08-13,32
Persons,01-14,20,2010-08-20,33
Persons,01-14,13,2010-08-27,34
Persons,01-14,13,2010-09-03,35
Persons,01-14,22,2010-09-10,36
Persons,01-14,21,2010-09-17,37
Persons,01-14,19,2010-09-24,38
Persons,01-14,23,2010-10-01,39
Persons,01-14,24,2010-10-08,40
Persons,01-14,28,2010-10-15,41
Persons,01-14,22,2010-10-22,42
Persons,01-14,23,2010-10-29,43
Persons,01-14,21,2010-11-05,44
Persons,01-14,16,2010-11-12,45
Persons,01-14,11,2010-11-19,46
Persons,01-14,23,2010-11-26,47
Persons,01-14,19,2010-12-03,48
Persons,01-14,29,2010-12-10,49
Persons,01-14,23,2010-12-17,50
Persons,01-14,35,2010-12-24,51
Persons,01-14,21,2010-12-31,52
Persons,15-44,299,2010-01-08,1
Persons,15-44,331,2010-01-15,2
Persons,15-44,347,2010-01-22,3
Persons,15-44,336,2010-01-29,4
Persons,15-44,317,2010-02-05,5
Persons,15-44,308,2010-02-12,6
Persons,15-44,329,2010-02-19,7
Persons,15-44,340,2010-02-26,8
Persons,15-44,348,2010-03-05,9
Persons,15-44,334,2010-03-12,10
Persons,15-44,294,2010-03-19,11
Persons,15-44,303,2010-03-26,12
Persons,15-44,230,2010-04-02,13
Persons,15-44,288,2010-04-09,14
Persons,15-44,321,2010-04-16,15
Persons,15-44,333,2010-04-23,16
Persons,15-44,325,2010-04-30,17
Persons,15-44,240,2010-05-07,18
Persons,15-44,335,2010-05-14,19
Persons,15-44,356,2010-05-21,20
Persons,15-44,352,2010-05-28,21
Persons,15-44,244,2010-06-04,22
Persons,15-44,303,2010-06-11,23
Persons,15-44,291,2010-06-18,24
Persons,15-44,311,2010-06-25,25
Persons,15-44,279,2010-07-02,26
Persons,15-44,313,2010-07-09,27
Persons,15-44,291,2010-07-16,28
Persons,15-44,302,2010-07-23,29
Persons,15-44,289,2010-07-30,30
Persons,15-44,355,2010-08-06,31
Persons,15-44,327,2010-08-13,32
Persons,15-44,280,2010-08-20,33
Persons,15-44,278,2010-08-27,34
Persons,15-44,249,2010-09-03,35
Persons,15-44,322,2010-09-10,36
Persons,15-44,320,2010-09-17,37
Persons,15-44,317,2010-09-24,38
Persons,15-44,282,2010-10-01,39
Persons,15-44,315,2010-10-08,40
Persons,15-44,307,2010-10-15,41
Persons,15-44,318,2010-10-22,42
Persons,15-44,323,2010-10-29,43
Persons,15-44,318,2010-11-05,44
Persons,15-44,307,2010-11-12,45
Persons,15-44,319,2010-11-19,46
Persons,15-44,307,2010-11-26,47
Persons,15-44,280,2010-12-03,48
Persons,15-44,338,2010-12-10,49
Persons,15-44,349,2010-12-17,50
Persons,15-44,405,2010-12-24,51
Persons,15-44,218,2010-12-31,52
Persons,45-64,1570,2010-01-08,1
Persons,45-64,1465,2010-01-15,2
Persons,45-64,1392,2010-01-22,3
Persons,45-64,1300,2010-01-29,4
Persons,45-64,1308,2010-02-05,5
Persons,45-64,1239,2010-02-12,6
Persons,45-64,1276,2010-02-19,7
Persons,45-64,1315,2010-02-26,8
Persons,45-64,1230,2010-03-05,9
Persons,45-64,1259,2010-03-12,10
Persons,45-64,1307,2010-03-19,11
Persons,45-64,1227,2010-03-26,12
Persons,45-64,1035,2010-04-02,13
Persons,45-64,1242,2010-04-09,14
Persons,45-64,1276,2010-04-16,15
Persons,45-64,1243,2010-04-23,16
Persons,45-64,1220,2010-04-30,17
Persons,45-64,1119,2010-05-07,18
Persons,45-64,1262,2010-05-14,19
Persons,45-64,1165,2010-05-21,20
Persons,45-64,1205,2010-05-28,21
Persons,45-64,1080,2010-06-04,22
Persons,45-64,1292,2010-06-11,23
Persons,45-64,1182,2010-06-18,24
Persons,45-64,1145,2010-06-25,25
Persons,45-64,1161,2010-07-02,26
Persons,45-64,1203,2010-07-09,27
Persons,45-64,1174,2010-07-16,28
Persons,45-64,1200,2010-07-23,29
Persons,45-64,1075,2010-07-30,30
Persons,45-64,1211,2010-08-06,31
Persons,45-64,1086,2010-08-13,32
Persons,45-64,1144,2010-08-20,33
Persons,45-64,1160,2010-08-27,34
Persons,45-64,1045,2010-09-03,35
Persons,45-64,1176,2010-09-10,36
Persons,45-64,1206,2010-09-17,37
Persons,45-64,1131,2010-09-24,38
Persons,45-64,1160,2010-10-01,39
Persons,45-64,1214,2010-10-08,40
Persons,45-64,1315,2010-10-15,41
Persons,45-64,1205,2010-10-22,42
Persons,45-64,1198,2010-10-29,43
Persons,45-64,1215,2010-11-05,44
Persons,45-64,1221,2010-11-12,45
Persons,45-64,1185,2010-11-19,46
Persons,45-64,1198,2010-11-26,47
Persons,45-64,1199,2010-12-03,48
Persons,45-64,1396,2010-12-10,49
Persons,45-64,1466,2010-12-17,50
Persons,45-64,1463,2010-12-24,51
Persons,45-64,1254,2010-12-31,52
Persons,65-74,2049,2010-01-08,1
Persons,65-74,1860,2010-01-15,2
Persons,65-74,1781,2010-01-22,3
Persons,65-74,1666,2010-01-29,4
Persons,65-74,1588,2010-02-05,5
Persons,65-74,1596,2010-02-12,6
Persons,65-74,1560,2010-02-19,7
Persons,65-74,1600,2010-02-26,8
Persons,65-74,1547,2010-03-05,9
Persons,65-74,1552,2010-03-12,10
Persons,65-74,1572,2010-03-19,11
Persons,65-74,1566,2010-03-26,12
Persons,65-74,1256,2010-04-02,13
Persons,65-74,1603,2010-04-09,14
Persons,65-74,1646,2010-04-16,15
Persons,65-74,1525,2010-04-23,16
Persons,65-74,1564,2010-04-30,17
Persons,65-74,1379,2010-05-07,18
Persons,65-74,1497,2010-05-14,19
Persons,65-74,1525,2010-05-21,20
Persons,65-74,1616,2010-05-28,21
Persons,65-74,1371,2010-06-04,22
Persons,65-74,1527,2010-06-11,23
Persons,65-74,1497,2010-06-18,24
Persons,65-74,1437,2010-06-25,25
Persons,65-74,1497,2010-07-02,26
Persons,65-74,1376,2010-07-09,27
Persons,65-74,1404,2010-07-16,28
Persons,65-74,1359,2010-07-23,29
Persons,65-74,1377,2010-07-30,30
Persons,65-74,1434,2010-08-06,31
Persons,65-74,1386,2010-08-13,32
Persons,65-74,1425,2010-08-20,33
Persons,65-74,1462,2010-08-27,34
Persons,65-74,1292,2010-09-03,35
Persons,65-74,1539,2010-09-10,36
Persons,65-74,1476,2010-09-17,37
Persons,65-74,1455,2010-09-24,38
Persons,65-74,1440,2010-10-01,39
Persons,65-74,1455,2010-10-08,40
Persons,65-74,1467,2010-10-15,41
Persons,65-74,1495,2010-10-22,42
Persons,65-74,1462,2010-10-29,43
Persons,65-74,1581,2010-11-05,44
Persons,65-74,1507,2010-11-12,45
Persons,65-74,1540,2010-11-19,46
Persons,65-74,1502,2010-11-26,47
Persons,65-74,1516,2010-12-03,48
Persons,65-74,1736,2010-12-10,49
Persons,65-74,1642,2010-12-17,50
Persons,65-74,1796,2010-12-24,51
Persons,65-74,1514,2010-12-31,52
Persons,75-84,3952,2010-01-08,1
Persons,75-84,3883,2010-01-15,2
Persons,75-84,3501,2010-01-22,3
Persons,75-84,3359,2010-01-29,4
Persons,75-84,3123,2010-02-05,5
Persons,75-84,3002,2010-02-12,6
Persons,75-84,3015,2010-02-19,7
Persons,75-84,3106,2010-02-26,8
Persons,75-84,3003,2010-03-05,9
Persons,75-84,2917,2010-03-12,10
Persons,75-84,2895,2010-03-19,11
Persons,75-84,2870,2010-03-26,12
Persons,75-84,2385,2010-04-02,13
Persons,75-84,2958,2010-04-09,14
Persons,75-84,3058,2010-04-16,15
Persons,75-84,2821,2010-04-23,16
Persons,75-84,2857,2010-04-30,17
Persons,75-84,2574,2010-05-07,18
Persons,75-84,2973,2010-05-14,19
Persons,75-84,2689,2010-05-21,20
Persons,75-84,2861,2010-05-28,21
Persons,75-84,2416,2010-06-04,22
Persons,75-84,2727,2010-06-11,23
Persons,75-84,2530,2010-06-18,24
Persons,75-84,2502,2010-06-25,25
Persons,75-84,2644,2010-07-02,26
Persons,75-84,2688,2010-07-09,27
Persons,75-84,2582,2010-07-16,28
Persons,75-84,2533,2010-07-23,29
Persons,75-84,2464,2010-07-30,30
Persons,75-84,2557,2010-08-06,31
Persons,75-84,2478,2010-08-13,32
Persons,75-84,2604,2010-08-20,33
Persons,75-84,2531,2010-08-27,34
Persons,75-84,2316,2010-09-03,35
Persons,75-84,2684,2010-09-10,36
Persons,75-84,2534,2010-09-17,37
Persons,75-84,2651,2010-09-24,38
Persons,75-84,2564,2010-10-01,39
Persons,75-84,2785,2010-10-08,40
Persons,75-84,2703,2010-10-15,41
Persons,75-84,2766,2010-10-22,42
Persons,75-84,2861,2010-10-29,43
Persons,75-84,2851,2010-11-05,44
Persons,75-84,2829,2010-11-12,45
Persons,75-84,2856,2010-11-19,46
Persons,75-84,2932,2010-11-26,47
Persons,75-84,2764,2010-12-03,48
Persons,75-84,3336,2010-12-10,49
Persons,75-84,3193,2010-12-17,50
Persons,75-84,3465,2010-12-24,51
Persons,75-84,2861,2010-12-31,52
Persons,85+,5012,2010-01-08,1
Persons,85+,4902,2010-01-15,2
Persons,85+,4654,2010-01-22,3
Persons,85+,4305,2010-01-29,4
Persons,85+,4089,2010-02-05,5
Persons,85+,3864,2010-02-12,6
Persons,85+,3834,2010-02-19,7
Persons,85+,3833,2010-02-26,8
Persons,85+,3765,2010-03-05,9
Persons,85+,3653,2010-03-12,10
Persons,85+,3581,2010-03-19,11
Persons,85+,3554,2010-03-26,12
Persons,85+,2971,2010-04-02,13
Persons,85+,3553,2010-04-09,14
Persons,85+,3496,2010-04-16,15
Persons,85+,3429,2010-04-23,16
Persons,85+,3458,2010-04-30,17
Persons,85+,2955,2010-05-07,18
Persons,85+,3321,2010-05-14,19
Persons,85+,3361,2010-05-21,20
Persons,85+,3310,2010-05-28,21
Persons,85+,2996,2010-06-04,22
Persons,85+,3350,2010-06-11,23
Persons,85+,2923,2010-06-18,24
Persons,85+,2994,2010-06-25,25
Persons,85+,3306,2010-07-02,26
Persons,85+,2964,2010-07-09,27
Persons,85+,2988,2010-07-16,28
Persons,85+,2791,2010-07-23,29
Persons,85+,2965,2010-07-30,30
Persons,85+,2828,2010-08-06,31
Persons,85+,2958,2010-08-13,32
Persons,85+,3063,2010-08-20,33
Persons,85+,3123,2010-08-27,34
Persons,85+,2741,2010-09-03,35
Persons,85+,3164,2010-09-10,36
Persons,85+,3093,2010-09-17,37
Persons,85+,3299,2010-09-24,38
Persons,85+,3218,2010-10-01,39
Persons,85+,3334,2010-10-08,40
Persons,85+,3328,2010-10-15,41
Persons,85+,3433,2010-10-22,42
Persons,85+,3350,2010-10-29,43
Persons,85+,3616,2010-11-05,44
Persons,85+,3468,2010-11-12,45
Persons,85+,3471,2010-11-19,46
Persons,85+,3454,2010-11-26,47
Persons,85+,3391,2010-12-03,48
Persons,85+,4298,2010-12-10,49
Persons,85+,4145,2010-12-17,50
Persons,85+,4255,2010-12-24,51
Persons,85+,3778,2010-12-31,52
Males,Under 1 year,25,2010-01-08,1
Males,Under 1 year,40,2010-01-15,2
Males,Under 1 year,35,2010-01-22,3
Males,Under 1 year,39,2010-01-29,4
Males,Under 1 year,32,2010-02-05,5
Males,Under 1 year,45,2010-02-12,6
Males,Under 1 year,40,2010-02-19,7
Males,Under 1 year,36,2010-02-26,8
Males,Under 1 year,33,2010-03-05,9
Males,Under 1 year,27,2010-03-12,10
Males,Under 1 year,34,2010-03-19,11
Males,Under 1 year,37,2010-03-26,12
Males,Under 1 year,28,2010-04-02,13
Males,Under 1 year,35,2010-04-09,14
Males,Under 1 year,38,2010-04-16,15
Males,Under 1 year,35,2010-04-23,16
Males,Under 1 year,33,2010-04-30,17
Males,Under 1 year,32,2010-05-07,18
Males,Under 1 year,33,2010-05-14,19
Males,Under 1 year,35,2010-05-21,20
Males,Under 1 year,43,2010-05-28,21
Males,Under 1 year,30,2010-06-04,22
Males,Under 1 year,30,2010-06-11,23
Males,Under 1 year,32,2010-06-18,24
Males,Under 1 year,37,2010-06-25,25
Males,Under 1 year,31,2010-07-02,26
Males,Under 1 year,34,2010-07-09,27
Males,Under 1 year,36,2010-07-16,28
Males,Under 1 year,33,2010-07-23,29
Males,Under 1 year,40,2010-07-30,30
Males,Under 1 year,28,2010-08-06,31
Males,Under 1 year,38,2010-08-13,32
Males,Under 1 year,26,2010-08-20,33
Males,Under 1 year,28,2010-08-27,34
Males,Under 1 year,26,2010-09-03,35
Males,Under 1 year,33,2010-09-10,36
Males,Under 1 year,37,2010-09-17,37
Males,Under 1 year,30,2010-09-24,38
Males,Under 1 year,43,2010-10-01,39
Males,Under 1 year,38,2010-10-08,40
Males,Under 1 year,35,2010-10-15,41
Males,Under 1 year,23,2010-10-22,42
Males,Under 1 year,27,2010-10-29,43
Males,Under 1 year,38,2010-11-05,44
Males,Under 1 year,28,2010-11-12,45
Males,Under 1 year,32,2010-11-19,46
Males,Under 1 year,32,2010-11-26,47
Males,Under 1 year,22,2010-12-03,48
Males,Under 1 year,38,2010-12-10,49
Males,Under 1 year,35,2010-12-17,50
Males,Under 1 year,39,2010-12-24,51
Males,Under 1 year,24,2010-12-31,52
Males,01-14,9,2010-01-08,1
Males,01-14,17,2010-01-15,2
Males,01-14,9,2010-01-22,3
Males,01-14,9,2010-01-29,4
Males,01-14,11,2010-02-05,5
Males,01-14,14,2010-02-12,6
Males,01-14,3,2010-02-19,7
Males,01-14,14,2010-02-26,8
Males,01-14,16,2010-03-05,9
Males,01-14,20,2010-03-12,10
Males,01-14,14,2010-03-19,11
Males,01-14,17,2010-03-26,12
Males,01-14,8,2010-04-02,13
Males,01-14,9,2010-04-09,14
Males,01-14,8,2010-04-16,15
Males,01-14,16,2010-04-23,16
Males,01-14,12,2010-04-30,17
Males,01-14,8,2010-05-07,18
Males,01-14,10,2010-05-14,19
Males,01-14,12,2010-05-21,20
Males,01-14,18,2010-05-28,21
Males,01-14,14,2010-06-04,22
Males,01-14,5,2010-06-11,23
Males,01-14,10,2010-06-18,24
Males,01-14,6,2010-06-25,25
Males,01-14,9,2010-07-02,26
Males,01-14,14,2010-07-09,27
Males,01-14,15,2010-07-16,28
Males,01-14,8,2010-07-23,29
Males,01-14,7,2010-07-30,30
Males,01-14,10,2010-08-06,31
Males,01-14,6,2010-08-13,32
Males,01-14,8,2010-08-20,33
Males,01-14,11,2010-08-27,34
Males,01-14,7,2010-09-03,35
Males,01-14,11,2010-09-10,36
Males,01-14,13,2010-09-17,37
Males,01-14,14,2010-09-24,38
Males,01-14,10,2010-10-01,39
